70710 CARLS ROAD, STURGIS, MICHIGAN,49091,37400,41.760171,-85.349956,0,0.0,0.0
209 NORTH MAPLE STREET, STURGIS, MICHIGAN,49091,31500,41.801553,-85.417126,0,0.0,0.0
51730 35 1/2 ST, PAW PAW, MICHIGAN,49079,81700,42.231224,-85.893457,0,0.0,0.0
51730 35 1/2 ST, PAW PAW, MICHIGAN,49079,81700,42.231224,-85.893457,0,0.0,0.0
43141 EAGLE LAKE DRIVE, PAW PAW, MICHIGAN,49079,34200,42.166863,-85.96696,0,0.0,0.0
1012 SOUTH LAGRAVE STREET, PAW PAW, MICHIGAN,49079,156200,42.208494,-85.883937,0,0.0,0.0
308 EAST BERRIEN STREET, PAW PAW, MICHIGAN,49079,29500,42.214565,-85.88804,0,0.0,0.0
42238 35TH STREET, PAW PAW, MICHIGAN,49079,14700,42.259926,-85.888529,0,0.0,0.0
38674 PAW PAW ROAD, PAW PAW, MICHIGAN,49079,7900,42.193615,-85.921245,0,0.0,0.0
517 ELM, PAW PAW, MICHIGAN,49079,34000,42.219251,-85.884479,0,0.0,0.0
36715 COUNTY RD 653, PAW PAW, MICHIGAN,49079,47800,42.291643,-85.831314,0,0.0,0.0
1012 S LAGRAVE, PAW PAW, MICHIGAN,49079,156200,42.208494,-85.883937,0,0.0,0.0
33555 56TH AVENUE, PAW PAW, MICHIGAN,49079,24100,42.215203,-85.876353,0,0.0,0.0
46841 ANTHONY STREET, PAW PAW, MICHIGAN,49079,40500,42.250364,-85.860847,0,0.0,0.0
125 EAST WASHINGTON STREET, COLDWATER, MICHIGAN,49036,23800,41.937114,-84.995011,0,0.0,0.0
57 DIVISION STREET, COLDWATER, MICHIGAN,49036,0,41.938316,-85.001246,0,0.0,0.0
647 JONESVILLE ROAD, COLDWATER, MICHIGAN,49036,34800,41.985403,-84.955523,0,0.0,0.0
89 SMITH STREET, COLDWATER, MICHIGAN,49036,29700,41.945072,-84.994323,0,0.0,0.0
382 NORTH FREMONT ROAD, COLDWATER, MICHIGAN,49036,40263,41.937286,-84.93205,0,0.0,0.0
247 EAST WASHINGTON STREET, COLDWATER, MICHIGAN,49036,28350,41.936668,-84.992337,0,0.0,0.0
204 HENRY STREET, COLDWATER, MICHIGAN,49036,14400,41.944427,-85.015013,0,0.0,0.0
156 WEST CLARKE AVENUE, COLDWATER, MICHIGAN,49036,36150,41.951957,-85.00639,0,0.0,0.0
675 JO JO LANE, COLDWATER, MICHIGAN,49036,63698,41.815668,-84.959127,0,0.0,0.0
196 n. angola rd., COLDWATER, MICHIGAN,49036,59100,41.912538,-85.005204,0,0.0,0.0
